MONTH,Column1,Haematology,General Coag,Haemophilia,Thrombophilia,Miscellaneous,AcuStar,PT,INR,PT50,APTT,APTT RATIO,APTT50,D-DIMER,FIB CLAUS,Fibrinogen Antigen,TT5,Anti-Xa,FVIII inhibitor Screen,FVIII Inhibitor Assay,FIX Inhibitor Screen,FX Inhibitor Screen,FX Inhibitor Assay,Apixiban,Dabigatran,Rivaroxaban,FII,FV,FVII,FVIII,FVIII Dade,FVIII Chromogenic,FVIII Refacto,FIX,FIX Dade,FX,Factor X:Ag,FX Chromogenic,FXI,FXI Dade,FXII,FXIII Antigen,HIT SCREEN,VWF RICOF,VWF antigen,VWF:CBA,VWF Activity,ADAMST13,CAT-ETP,ROTEM,PFA,Light transmission Platelet Aggregometry,Platelet Nucleotides,APC Ratio,Protein C,FreePS,AT,APTT Dade,APTT Lupus Screen Ratio,Liq AT,LACSR,LACCR,TOTALS,Multiplate aggregation
JANUARY 2010,1,2.00,2.00,0.00,0.00,,,1.00,1.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,2.00,
FEBRUARY 2010,2,17.00,13.00,0.00,4.00,,,4.00,0.00,,4.00,3.00,,0.00,1.00,0.00,1.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,17.00,
MARCH 2010,3,18.00,18.00,0.00,0.00,,,9.00,5.00,,2.00,2.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,18.00,
APRIL 2010,4,9.00,9.00,0.00,0.00,,,5.00,4.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,9.00,
MAY 2010,5,21.00,12.00,9.00,0.00,,,6.00,5.00,,1.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,21.00,
JUNE 2010,6,77.00,17.00,50.00,10.00,,,5.00,4.00,,1.00,1.00,,6.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,13.00,14.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,77.00,
JULY 2010,7,373.00,262.00,0.00,111.00,,,91.00,26.00,,71.00,69.00,,1.00,2.00,0.00,1.00,1.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,,,4.00,4.00,4.00,6.00,0.00,0.00,,5.00,0.00,373.00,
AUGUST 2010,8,49241.00,46595.00,458.00,2188.00,,,14431.00,3062.00,,11006.00,10050.00,,835.00,727.00,0.00,306.00,153.00,0.00,0.00,,1.00,1.00,,,,12.00,0.00,20.00,0.00,0.00,,0.00,62.00,0.00,,0.00,0.00,68.00,0.00,22.00,30.00,,,97.00,,145.00,,,,,,,177.00,174.00,207.00,105.00,0.00,0.00,,500.00,144.00,49241.00,
SEPTEMBER 2010,9,48033.00,45913.00,299.00,1821.00,,,13627.00,2526.00,,11448.00,10499.00,,804.00,738.00,0.00,322.00,160.00,0.00,0.00,,1.00,1.00,,,,6.00,0.00,11.00,0.00,0.00,,0.00,38.00,0.00,,0.00,0.00,46.00,0.00,22.00,21.00,,,71.00,,80.00,,,,,,,158.00,212.00,224.00,98.00,0.00,0.00,,388.00,37.00,48033.00,
OCTOBER 2010,10,49393.00,47044.00, ,1909.00,,,14556.00,2784.00,,11605.00,10599.00,,889.00,686.00,0.00,345.00,142.00,0.00,0.00,,0.00,0.00,,,,10.00,2.00,13.00,10.00,1.00,,3.00,30.00,1.00,,0.00,0.00,27.00,1.00,6.00,16.00,,,105.00,,121.00,,,,,,,126.00,158.00,158.00,121.00,0.00,0.00,,387.00,29.00,49393.00,
NOVEMBER 2010,11,47379.00,44803.00,662.00,1914.00,,,15033.00,2568.00,,10014.00,9176.00,,839.00,742.00,0.00,243.00,151.00,0.00,0.00,,1.00,1.00,,,,0.00,0.00,15.00,1.00,0.00,,0.00,1.00,0.00,,18.00,18.00,1.00,0.00,0.00,4.00,,,131.00,,69.00,,,,,,,81.00,98.00,119.00,103.00,0.00,0.00,,391.00,92.00,47379.00,
DECEMBER 2010,12,44412.00,42559.00,353.00,1500.00,,,14139.00,2409.00,,9618.00,8777.00,,854.00,689.00,0.00,301.00,172.00,0.00,0.00,,1.00,1.00,,,,0.00,0.00,0.00,46.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,2.00,,,52.00,,10.00,,,,,,,66.00,78.00,93.00,106.00,0.00,0.00,,320.00,37.00,44412.00,
JANUARY 2011,13,46949.00,44777.00,329.00,1843.00,0.00,,15194.00,2649.00,,9960.00,9033.00,,894.00,784.00,0.00,304.00,167.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,,58.00,,13.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,95.00,0.00,145.00,0.00,0.00,,385.00,39.00,46949.00,
