MONTH,Column1,Haematology,General Coag,Haemophilia,Thrombophilia,Miscellaneous,AcuStar,PT,INR,PT50,APTT,APTT RATIO,APTT50,D-DIMER,FIB CLAUS,Fibrinogen Antigen,TT5,Anti-Xa,FVIII inhibitor Screen,FVIII Inhibitor Assay,FIX Inhibitor Screen,FX Inhibitor Screen,FX Inhibitor Assay,Apixiban,Dabigatran,Rivaroxaban,FII,FV,FVII,FVIII,FVIII Dade,FVIII Chromogenic,FVIII Refacto,FIX,FIX Dade,FX,Factor X:Ag,FX Chromogenic,FXI,FXI Dade,FXII,FXIII Antigen,HIT SCREEN,VWF RICOF,VWF antigen,VWF:CBA,VWF Activity,ADAMST13,CAT-ETP,ROTEM,PFA,Light transmission Platelet Aggregometry,Platelet Nucleotides,APC Ratio,Protein C,FreePS,AT,APTT Dade,APTT Lupus Screen Ratio,Liq AT,LACSR,LACCR,TOTALS,Multiplate aggregation
01/01/2010,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
01/02/2010,2,17,13,0,4,0,0,4,0,0,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
01/03/2010,3,18,18,0,0,0,0,9,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
01/04/2010,4,9,9,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
01/05/2010,5,21,12,9,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
01/06/2010,6,77,17,50,10,0,0,5,4,0,1,1,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
01/07/2010,7,373,262,0,111,0,0,91,26,0,71,69,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,0,0,0,5,0,373,0
01/08/2010,8,49241,46595,458,2188,0,0,14431,3062,0,11006,10050,0,835,727,0,306,153,0,0,0,1,1,0,0,0,12,0,20,0,0,0,0,62,0,0,0,0,68,0,22,30,0,0,97,0,145,0,0,0,0,0,0,177,174,207,105,0,0,0,500,144,49241,0
01/09/2010,9,48033,45913,299,1821,0,0,13627,2526,0,11448,10499,0,804,738,0,322,160,0,0,0,1,1,0,0,0,6,0,11,0,0,0,0,38,0,0,0,0,46,0,22,21,0,0,71,0,80,0,0,0,0,0,0,158,212,224,98,0,0,0,388,37,48033,0
01/10/2010,10,49393,47044,452,1909,0,0,14556,2784,0,11605,10599,0,889,686,0,345,142,0,0,0,0,0,0,0,0,10,2,13,10,1,0,3,30,1,0,0,0,27,1,6,16,0,0,105,0,121,0,0,0,0,0,0,126,158,158,121,0,0,0,387,29,49393,0
